userid,username,forumid,most_active_forum
14901,Kaze,249,Offtopic
14902,Nantrox,183,Diskussionen
14903,2Shae,NULL,NULL
14904,Unewsplen,NULL,NULL
14906,Ovobo,NULL,NULL
14907,Zastrau,NULL,NULL
14908,siggy,NULL,NULL
14909,Azuzeus,NULL,NULL
14910,Kalux,NULL,NULL
14975,YIagramis,NULL,NULL
14911,deemos,NULL,NULL
14928,$$$,249,Offtopic
14913,LoriZ,249,Offtopic
14914,Blaubeere,NULL,NULL
14973,basuapy,249,Offtopic
14963,Sweet,NULL,NULL
14915,blackthinking,NULL,NULL
14918,"Fetter Dejan S.",NULL,NULL
14916,tyncgevyFet,NULL,NULL
15342,kankalar,NULL,NULL
14919,Antikerlol,181,"Zahlungsmethoden und Cashout"
14917,Juan,NULL,NULL
14920,textlos,NULL,NULL
14925,Viattequine,NULL,NULL
15150,a2559473,NULL,NULL
14921,UUmillicent,NULL,NULL
14922,looser90,NULL,NULL
14923,grantz,NULL,NULL
14926,n0Rq,NULL,NULL
14924,$ystem,245,"GFX and Video"
14937,Brandon,NULL,NULL
14977,mrxy,181,"Zahlungsmethoden und Cashout"
15043,Lil-King,NULL,NULL
14929,Timo,NULL,NULL
15009,nasparena,216,Searching
15023,microman,NULL,NULL
14930,Entrix,NULL,NULL
14990,user9292,189,Tutorials
14931,N0N4M3,NULL,NULL
14982,felipezim14,NULL,NULL
14986,"the killer",NULL,NULL
14997,Tototo,NULL,NULL
14984,facial,NULL,NULL
14949,miracle73,NULL,NULL
14933,Headliner,181,"Zahlungsmethoden und Cashout"
14932,ar123,280,Solved
14934,Chinnn,217,Droping/Packstation/Pickpoints...
14935,Faltencreme,NULL,NULL
14938,witti91,249,Offtopic
14939,HeuKreten,NULL,NULL
14942,Noro,NULL,NULL
14941,1337crew,216,Searching
14943,WitchMonsterz,NULL,NULL
14944,UTkathryn,NULL,NULL
14958,Dandy,NULL,NULL
14945,WeefSypobby,NULL,NULL
14946,MedknitendHit,NULL,NULL
14947,toneestargo,NULL,NULL
14948,immuroaccoche,NULL,NULL
14950,lee.available,NULL,NULL
14951,bdsuchender,NULL,NULL
14952,Resell,181,"Zahlungsmethoden und Cashout"
14954,lee.sham,NULL,NULL
14955,Danger,249,Offtopic
14956,Sesreossy,NULL,NULL
14957,carder_dumps,NULL,NULL
14959,ginboa_lu,NULL,NULL
14960,Lazzur,224,"Payment Accounts + CC's"
14961,Carwin,NULL,NULL
14962,Serkunzio,NULL,NULL
14964,Vev,188,Vorstellungen
14965,Layon,188,Vorstellungen
14966,molon11,204,"English Main"
14967,Oneshot,249,Offtopic
14968,Karl69,258,Lifestyle
14969,DocSynder,249,Offtopic
15284,xpureshoqzx,NULL,NULL
14970,Lordia,NULL,NULL
14972,Prohaxor,NULL,NULL
14971,igotripped,181,"Zahlungsmethoden und Cashout"
14974,Touch_Freak,249,Offtopic
14976,p0int1,188,Vorstellungen
15067,MVP,214,"Drops / Packstation"
14978,tosar,NULL,NULL
14979,Moislo002,NULL,NULL
14994,DoT..HaCk,238,Trojaner
14980,Kellendil,NULL,NULL
14981,transopo1,NULL,NULL
15534,Socks?,249,Offtopic
14993,freeeeak,NULL,NULL
14983,lostman,251,Sonstiges
15039,Rebund,NULL,NULL
14985,Malony,209,Carding/Instorecarding
14987,markusholzbau,NULL,NULL
14988,P0wnx!,182,"Die Fragen der Neulinge"
14989,123deppi,NULL,NULL
14991,34575Torry,NULL,NULL
14992,peter000,181,"Zahlungsmethoden und Cashout"
14996,DarkBrazil,NULL,NULL
14995,yamanner,NULL,NULL
14998,KoolSA,181,"Zahlungsmethoden und Cashout"
15018,wanky1965,182,"Die Fragen der Neulinge"
14999,Sunfo,NULL,NULL
15001,H4zz,NULL,NULL
15628,Thebozz,181,"Zahlungsmethoden und Cashout"
15004,ferengi,NULL,NULL
15002,asdfqwert,NULL,NULL
15003,r3dsoldier,209,Carding/Instorecarding
15005,Hanslam,NULL,NULL
15033,king18,NULL,NULL
15006,cube,NULL,NULL
15007,D0NK3Y,NULL,NULL
15008,Zavulon,NULL,NULL
15012,hfraenklin1,NULL,NULL
15010,TheRipper,NULL,NULL
15137,localnet,NULL,NULL
15011,derneue,249,Offtopic
15013,phoenixdevil,182,"Die Fragen der Neulinge"
15014,Pandorum,170,"All about Fraud"
15015,Biggie,188,Vorstellungen
15016,nspro27,NULL,NULL
15060,Tobitz,NULL,NULL
15701,"PAPER OG",189,Tutorials
15017,sa1nt,NULL,NULL
15019,aliwang,NULL,NULL
15020,ksharp1337,NULL,NULL
15021,mephisto,NULL,NULL
15024,Phaidan,NULL,NULL
15022,analyze,NULL,NULL
15275,sanik17,NULL,NULL
15114,SturdySys,NULL,NULL
15027,Lazy,175,"<font color=#FF8C00>Sell CC + CVV</font>"
15025,hanselb,NULL,NULL
15026,puff.dad,NULL,NULL
15028,rezer123,NULL,NULL
15029,Harmattan,NULL,NULL
15030,organik10,NULL,NULL
15044,ch0ka,NULL,NULL
15076,kurde2636,217,Droping/Packstation/Pickpoints...
15031,ocdiamond,NULL,NULL
15032,rbk,181,"Zahlungsmethoden und Cashout"
15034,Carlos,211,"Goods / Drugs / Self Defense"
15035,kooperblack,NULL,NULL
15036,DMark,183,Diskussionen
15037,chb19,NULL,NULL
15038,g0rdy,NULL,NULL
15119,PYr0815,NULL,NULL
15672,jamin86,NULL,NULL
15134,44°,NULL,NULL
15051,FlavioBriatore,NULL,NULL
15040,Rebound,NULL,NULL
15041,suchundfind,NULL,NULL
15042,biggie23,211,"Goods / Drugs / Self Defense"
15045,FortKnox,226,"Support / Kritik / Verbesserungsvorschläge"
15046,998,NULL,NULL
15047,nox.x,NULL,NULL
15048,Stargrove,NULL,NULL
15445,Aeron1337,NULL,NULL
15049,killa781,NULL,NULL
15050,kid1285,NULL,NULL
15053,mk300,246,"Software &amp; OS"
15052,PeszeK,NULL,NULL
15054,DYNAMIT3,209,Carding/Instorecarding
15072,RouleTTe,NULL,NULL
15055,Keksaffe,NULL,NULL
15056,miracle74,NULL,NULL
15058,TheHeliosMan,209,Carding/Instorecarding
15675,fiigo,188,Vorstellungen
15059,hacker66,NULL,NULL
15061,xX_Crimetime_Xx,NULL,NULL
15062,Dante0008,NULL,NULL
15065,Grimnir,NULL,NULL
15064,Sharkdevil,183,Diskussionen
15354,Brice,249,Offtopic
15066,sasa,183,Diskussionen
15068,Banker24,NULL,NULL
15069,Evilness,181,"Zahlungsmethoden und Cashout"
15070,Nitrogen,181,"Zahlungsmethoden und Cashout"
15073,chilla,NULL,NULL
15071,Syze,NULL,NULL
15466,GesichtAnalyse,NULL,NULL
15074,Smelly_O,328,"Newbie Market"
15075,tiger666,NULL,NULL
15079,Mr.Big,NULL,NULL
15077,finalescape,171,"Virtual Carding"
15078,Berlin,NULL,NULL
15471,warumnur,NULL,NULL
15086,1000mbit,NULL,NULL
15080,dabbadaaa,181,"Zahlungsmethoden und Cashout"
15081,Dutchy,182,"Die Fragen der Neulinge"
15087,HYPNOS,NULL,NULL
15156,noname4u,NULL,NULL
15083,Lmpi,NULL,NULL
15082,teufel123,NULL,NULL
15085,Faker210,NULL,NULL
15102,Octavius,NULL,NULL
15128,unrealshape,NULL,NULL
15088,99%,226,"Support / Kritik / Verbesserungsvorschläge"
15089,reactorx,NULL,NULL
15094,Legend,NULL,NULL
15091,sunloverz,NULL,NULL
15090,Jesus,NULL,NULL
15092,#k!LLu,NULL,NULL
15093,code#1,NULL,NULL
15095,vierundzwanzig,NULL,NULL
15096,TuraelTM,NULL,NULL
15097,keerow,249,Offtopic
15146,Realusion,NULL,NULL
15109,kubus1992,NULL,NULL
15196,diabkus,181,"Zahlungsmethoden und Cashout"
15219,brain087,181,"Zahlungsmethoden und Cashout"
15101,Biene,NULL,NULL
15099,Ne0nfire,NULL,NULL
15100,.orthodox,NULL,NULL
15110,Cannibal0s,181,"Zahlungsmethoden und Cashout"
15103,Rigo,NULL,NULL
15104,joeevans,NULL,NULL
15105,Saul_,NULL,NULL
15107,oksana1982x,188,Vorstellungen
15224,irs_sagittarius,NULL,NULL
15106,neoripper,183,Diskussionen
15124,nukae,NULL,NULL
15108,Ca$hmaker,NULL,NULL
15186,ScenePowner,235,Archiv
15111,anabolica,NULL,NULL
15112,puppetz,NULL,NULL
15299,"f0tz3? :o",NULL,NULL
15113,KinGstonN,NULL,NULL
15115,pekelhc,203,"Virtual creditcard (Cvv)"
15116,Uaithi,NULL,NULL
15117,elnoblehabano,NULL,NULL
15118,r0tweiss,212,"Services / Setup"
15120,Dukeraider,181,"Zahlungsmethoden und Cashout"
15121,Titorial,NULL,NULL
15122,myklasia,328,"Newbie Market"
15123,em-de-em-aaa,279,User-Beschwerden
15125,Drewfire,189,Tutorials
15585,MalanaCream,193,"Social Engeneering"
15147,strike,NULL,NULL
15126,Waller66,182,"Die Fragen der Neulinge"
15442,Hannes1212,NULL,NULL
15142,Excalibur,204,"English Main"
15127,Noha1234,NULL,NULL
15129,Hubi,NULL,NULL
15130,19Sascha93,NULL,NULL
15143,cyberwaypc,NULL,NULL
15131,budda843,249,Offtopic
15132,h04xed,209,Carding/Instorecarding
15136,"the brain",209,Carding/Instorecarding
15133,Kraal,231,Botnet
15191,Bacardi,188,Vorstellungen
15247,nathwill1,NULL,NULL
15250,wasweißich,NULL,NULL
15237,DiLauro,249,Offtopic
15135,vodka!!,188,Vorstellungen
15269,lafesse,181,"Zahlungsmethoden und Cashout"
15159,platokilla,NULL,NULL
15138,amir,NULL,NULL
15139,wolf,181,"Zahlungsmethoden und Cashout"
15140,ecstasy123,NULL,NULL
15218,horst96,NULL,NULL
15141,bussnessshop,NULL,NULL
15144,KYKE,NULL,NULL
15145,Urolge,NULL,NULL
15176,bBoyMC,NULL,NULL
15148,avatarsven,NULL,NULL
15149,Mamumba,249,Offtopic
15223,Geda,277,Board-Polizei
15151,bablos,NULL,NULL
15152,SuperHorst,NULL,NULL
15153,oraclehots,NULL,NULL
15228,(_DHL_),183,Diskussionen
15154,rewt,NULL,NULL
15174,palumbo,181,"Zahlungsmethoden und Cashout"
15155,xcopporn,249,Offtopic
15157,Tropic,NULL,NULL
15158,&lt;&lt;DevilDirt&gt;&gt;,NULL,NULL
15160,3voLut1oN,NULL,NULL
15161,Reticuli25,182,"Die Fragen der Neulinge"
15162,ignatius,NULL,NULL
15664,unkn0wn2,NULL,NULL
15213,simple,NULL,NULL
15163,clementsa,NULL,NULL
15164,Banani,NULL,NULL
15165,loggi,NULL,NULL
15166,"$|\/|[ ] K | |\| G",249,Offtopic
15167,CHELSEA,251,Sonstiges
15169,korsakoff,NULL,NULL
15168,geramy,NULL,NULL
15391,stickies,209,Carding/Instorecarding
15283,Kekze,NULL,NULL
15172,100%,226,"Support / Kritik / Verbesserungsvorschläge"
15170,elgreconiko,189,Tutorials
15171,Weed,249,Offtopic
15173,c-craic,NULL,NULL
15291,BOBBYBROWN,NULL,NULL
15177,Cliff,NULL,NULL
15178,papadondada,NULL,NULL
15229,Sleepdady,NULL,NULL
15175,wirelessy,NULL,NULL
15180,bypassrules,182,"Die Fragen der Neulinge"
15179,karpaltunnel,NULL,NULL
15181,f1tfull,NULL,NULL
15182,Aerodactyl,249,Offtopic
15183,P4ssp0rt,183,Diskussionen
15184,creepy123,189,Tutorials
15185,adehilla,181,"Zahlungsmethoden und Cashout"
15187,20/03/2003,NULL,NULL
15189,Scene-Elite,249,Offtopic
15188,123,NULL,NULL
15209,lmao1337,NULL,NULL
15190,wasistdes,NULL,NULL
15192,touch_the_sky,NULL,NULL
15193,CanDo,181,"Zahlungsmethoden und Cashout"
15328,Maxora,188,Vorstellungen
15194,LSD,249,Offtopic
15557,jean,NULL,NULL
15195,sisiman,NULL,NULL
15214,wer,NULL,NULL
15197,vielers,182,"Die Fragen der Neulinge"
15198,olli,188,Vorstellungen
15199,clarken,NULL,NULL
15203,.:-PlaYB0y-:.,249,Offtopic
15200,iSellstuff,NULL,NULL
15201,frosch,NULL,NULL
15202,Dirie,NULL,NULL
15204,tjazzjazzy,NULL,NULL
15205,denver2,NULL,NULL
15206,roflüberdenflur,NULL,NULL
15207,nexus1337,245,"GFX and Video"
15230,khajjak,NULL,NULL
15208,Caraton,209,Carding/Instorecarding
15227,Images,NULL,NULL
15502,destroyerback,NULL,NULL
15211,Predat0r,182,"Die Fragen der Neulinge"
15212,COOL,NULL,NULL
15215,bigbaba,NULL,NULL
15216,chikoo,209,Carding/Instorecarding
15217,KingClem™,NULL,NULL
15290,pimmelofant,NULL,NULL
15234,SkyHigh,249,Offtopic
15220,mr.Joze,NULL,NULL
15221,Aminus,NULL,NULL
15222,xRitsch,NULL,NULL
15567,suckit,NULL,NULL
15225,NewMemba,NULL,NULL
15226,context,NULL,NULL
15492,DerGigant,NULL,NULL
15243,Aufklärer,235,Archiv
15231,Stride,NULL,NULL
15232,Rambo1995,193,"Social Engeneering"
15233,Coolio85,NULL,NULL
15402,LaMonis,NULL,NULL
15235,KANTHOS,183,Diskussionen
15242,OnlyPrinzP,NULL,NULL
15236,edushka,226,"Support / Kritik / Verbesserungsvorschläge"
15239,RADAR,NULL,NULL
15238,K1gb0x,NULL,NULL
15657,sonnykek,NULL,NULL
15240,Mr.kevin,NULL,NULL
15241,Sinssu2,NULL,NULL
15558,ecstasy,NULL,NULL
15270,//me,NULL,NULL
15248,Dwizz,NULL,NULL
15244,ultraspeed,NULL,NULL
15245,metzger,188,Vorstellungen
15246,uRL4uB,NULL,NULL
15249,Rip,249,Offtopic
15273,Wsfaker,NULL,NULL
15251,Gaude,NULL,NULL
15252,sidebreaker,188,Vorstellungen
15510,andro1d,NULL,NULL
15281,head,NULL,NULL
15253,lordboba,NULL,NULL
15254,"absolutus perfectum",216,Searching
15551,Zuraaa,249,Offtopic
15255,h0st,NULL,NULL
15256,test123456,NULL,NULL
15258,Fresh,NULL,NULL
15257,€xxa,NULL,NULL
15259,h1xx0r,249,Offtopic
15260,usddddd,NULL,NULL
15261,C3SA,188,Vorstellungen
15338,level,NULL,NULL
15277,Marlboro420,194,"Skimming und Vorschaltgeräte"
15262,insha,NULL,NULL
15265,Spead,NULL,NULL
15263,Spoun,NULL,NULL
15264,Trojan,NULL,NULL
15266,Misc,NULL,NULL
15267,Trust,NULL,NULL
15268,Trusted,NULL,NULL
15271,Nevil,188,Vorstellungen
15272,TESLA,NULL,NULL
15274,SpongeBobPS,NULL,NULL
15276,BlackHorse,181,"Zahlungsmethoden und Cashout"
15496,Hans2k,NULL,NULL
15278,Gressi,212,"Services / Setup"
15279,jacko,NULL,NULL
15286,defcon2000,NULL,NULL
15280,samagon,171,"Virtual Carding"
15282,Tombi,181,"Zahlungsmethoden und Cashout"
15285,Hanna,181,"Zahlungsmethoden und Cashout"
15288,Syclone,NULL,NULL
15287,crush,NULL,NULL
15289,brainfuCC,NULL,NULL
15303,mail.tonne,NULL,NULL
15293,SAR,NULL,NULL
15292,schvvanz,NULL,NULL
15294,alpacino777,258,Lifestyle
15304,backspace1234,NULL,NULL
15295,Tii,NULL,NULL
15296,SkyLight,226,"Support / Kritik / Verbesserungsvorschläge"
15297,dudeyaa,NULL,NULL
15298,xenoxyz,NULL,NULL
15300,cyberjedi,236,"Hash Verschlüselungen / Passwort Cracking"
15301,lfbanner,NULL,NULL
15302,TD89,NULL,NULL
15325,CayCay61,NULL,NULL
15333,alpacino7777,189,Tutorials
15305,STAAR_,181,"Zahlungsmethoden und Cashout"
15327,Alex,NULL,NULL
15306,powerlauer,NULL,NULL
15307,DeHeinz,NULL,NULL
15308,aRealGamer,NULL,NULL
15691,Gangsta777,NULL,NULL
15326,paulhannes,NULL,NULL
15311,MiserySignals,181,"Zahlungsmethoden und Cashout"
15309,lamborghini_998,NULL,NULL
15310,wolverin,245,"GFX and Video"
15312,HeldVomErdbeerfeld,239,Funktechnik
15313,Nachto,NULL,NULL
15314,THE-CARTEL,NULL,NULL
15315,"Bauer Hansen",NULL,NULL
15316,flamingo,NULL,NULL
15317,Eddy9009,NULL,NULL
15318,Landliebe,NULL,NULL
15319,sergalos,NULL,NULL
15320,baba159,NULL,NULL
15321,13rqL37,NULL,NULL
15322,WASISTDAS,181,"Zahlungsmethoden und Cashout"
15323,spielo23,NULL,NULL
15434,elpara,NULL,NULL
15324,jackielee3333,NULL,NULL
15330,heyleute,182,"Die Fragen der Neulinge"
15329,niagh,NULL,NULL
15331,Thrax,NULL,NULL
15355,Ehrlich,NULL,NULL
15332,gfx0r,NULL,NULL
15336,Tronic,NULL,NULL
15334,Tabibito,NULL,NULL
15339,KabuM,181,"Zahlungsmethoden und Cashout"
15335,slowpoke,NULL,NULL
15337,!nformat!on,NULL,NULL
15340,loliciouse,NULL,NULL
15348,skilled,220,"Gaming Accounts"
15345,SpeziaL,NULL,NULL
15341,schmirfinger,NULL,NULL
15351,bongbanger,NULL,NULL
15343,solidcrew2,NULL,NULL
15344,torbon,NULL,NULL
15346,shangotekel,NULL,NULL
15347,tritra,328,"Newbie Market"
15349,dealer90,NULL,NULL
15350,eLEMENTIZEN,NULL,NULL
15365,fraud123,NULL,NULL
15352,DrEvil1993,249,Offtopic
15353,MeBall,209,Carding/Instorecarding
15356,hanna69,183,Diskussionen
15358,rakim,249,Offtopic
15357,bonnyundclyde,181,"Zahlungsmethoden und Cashout"
15446,ziegenpeter,NULL,NULL
15359,Bolton,181,"Zahlungsmethoden und Cashout"
15362,3XcmDC,NULL,NULL
15360,DeeJay,212,"Services / Setup"
15361,kangalooj,NULL,NULL
15457,Gollum,NULL,NULL
15392,djhurensohn,182,"Die Fragen der Neulinge"
15363,Knorrer,NULL,NULL
15364,hadeca,NULL,NULL
15366,Kingomario,NULL,NULL
15372,Cocaino,NULL,NULL
15367,"Vic Mackey",189,Tutorials
15404,SCHLITZOHR,181,"Zahlungsmethoden und Cashout"
15526,kariki.deal,NULL,NULL
15369,exploit_,NULL,NULL
15370,theCASHdude,181,"Zahlungsmethoden und Cashout"
15371,Magnat,173,"Identification &amp; Documents"
15373,Lindsay,181,"Zahlungsmethoden und Cashout"
15565,Chiko,NULL,NULL
15374,xmaniax666,NULL,NULL
15380,Shoocky,NULL,NULL
15423,freshyyy,181,"Zahlungsmethoden und Cashout"
15375,Blackbeart,214,"Drops / Packstation"
15382,daimo287,NULL,NULL
15376,Notme,NULL,NULL
15377,coolgx,NULL,NULL
15507,swblades,NULL,NULL
15378,asianfreak,NULL,NULL
15412,black-betty,236,"Hash Verschlüselungen / Passwort Cracking"
15379,pan1c,NULL,NULL
15385,karol85,NULL,NULL
15383,revel004,NULL,NULL
15381,plaiistep2,NULL,NULL
15497,TINY,NULL,NULL
15597,StarrDust-,NULL,NULL
15386,Drugstock,NULL,NULL
15384,Walter,NULL,NULL
15388,Capone91,NULL,NULL
15387,aqone,280,Solved
15533,0neWay0ut,231,Botnet
15389,Bigmouse,NULL,NULL
15390,Wuddel88,NULL,NULL
15541,cags2010,181,"Zahlungsmethoden und Cashout"
15394,kingzler,NULL,NULL
15393,Chippy,NULL,NULL
15399,-lol-,NULL,NULL
15395,fudo17,NULL,NULL
15513,BubblezUs,NULL,NULL
15396,xstar,328,"Newbie Market"
15397,TheDarkMagus,NULL,NULL
15398,AleCtronic,NULL,NULL
15405,hbk,NULL,NULL
15544,Urle,NULL,NULL
15400,Dynamit,216,Searching
15401,drugxxz2,NULL,NULL
15693,shrimps271,249,Offtopic
15422,freaker010,NULL,NULL
15403,PayPerPsc,249,Offtopic
15409,faroutasjapan,NULL,NULL
15406,niwodoufacai,NULL,NULL
15407,brain.e.x.e,NULL,NULL
15408,Zebs,181,"Zahlungsmethoden und Cashout"
15417,Rodney,181,"Zahlungsmethoden und Cashout"
15410,Mario29012,NULL,NULL
15411,Frankenstein,NULL,NULL
15413,HayShu,181,"Zahlungsmethoden und Cashout"
15414,Toppit93,NULL,NULL
15415,ToravitchPapkin,NULL,NULL
15416,ayanor,NULL,NULL
15418,nih,NULL,NULL
15447,mezza,NULL,NULL
15419,Jigun,188,Vorstellungen
15420,ente,NULL,NULL
15487,MaybeSomeday,216,Searching
15421,CryptX,188,Vorstellungen
15424,j03ycr4ck,NULL,NULL
15425,Invade,188,Vorstellungen
15499,Bad_Dog,NULL,NULL
15426,M0rPh3.nUll,NULL,NULL
15427,RoboCock,NULL,NULL
15428,OneWayOut,183,Diskussionen
15436,Toast,NULL,NULL
15429,stevy,NULL,NULL
15430,patros69,181,"Zahlungsmethoden und Cashout"
15431,Anonymous,NULL,NULL
15432,MisterGuy,NULL,NULL
15433,nykoN,NULL,NULL
15435,Gary,NULL,NULL
15437,Pseudo,NULL,NULL
15438,mudsnake,NULL,NULL
15485,Ligatur,NULL,NULL
15439,Ba$her,188,Vorstellungen
15440,khokhare,NULL,NULL
15590,blackhawk,NULL,NULL
15441,1xxx1,238,Trojaner
15443,sqlit,NULL,NULL
15444,MegaMrvN,183,Diskussionen
15448,TERAX,NULL,NULL
15449,M0R155,NULL,NULL
15450,Bl4cksh4rk,209,Carding/Instorecarding
15452,Obilee,NULL,NULL
15451,emu,NULL,NULL
15453,darealgame,238,Trojaner
15454,Rainb0w,NULL,NULL
15620,san_diego,188,Vorstellungen
15589,todsta,NULL,NULL
15455,W33DSt4R,NULL,NULL
15515,Eat3r,NULL,NULL
15456,rikin,NULL,NULL
15458,bizzydogg,NULL,NULL
15459,Luppa,NULL,NULL
15463,sway,188,Vorstellungen
15460,SaCu,249,Offtopic
15462,d0nb0tter,NULL,NULL
15461,Karl01,173,"Identification &amp; Documents"
15464,onur191,NULL,NULL
15465,xxpaddyxx,NULL,NULL
15486,Sega,NULL,NULL
15467,KREI0S,216,Searching
15468,owner,257,"Rechtliches / Legal"
15517,JJay,NULL,NULL
15483,poiuyt,NULL,NULL
15469,opop,NULL,NULL
15635,doom.dumps,207,Dumps
15470,kmon,NULL,NULL
15472,owner1,257,"Rechtliches / Legal"
15473,Linuxfreky,NULL,NULL
15474,syronik,209,Carding/Instorecarding
15476,ertoberto,252,Crypter/Packer/Binder
15475,BirdOfPray,NULL,NULL
15477,shorty123,280,Solved
15479,1st_one,NULL,NULL
15478,s100103,NULL,NULL
15481,nez,231,Botnet
15480,rus.minh,NULL,NULL
15482,lfc,NULL,NULL
15484,SkiLLFreaK,182,"Die Fragen der Neulinge"
15617,aua,329,"Newbie Searching"
15522,haifisch23,NULL,NULL
15488,General.MR,NULL,NULL
15624,advakat,NULL,NULL
15489,dongrasi0077,NULL,NULL
15493,siewert129,183,Diskussionen
15504,bemir,NULL,NULL
15490,monkey,NULL,NULL
15491,dude,NULL,NULL
15494,freedom2545,NULL,NULL
15495,skin9r,189,Tutorials
15498,vested,NULL,NULL
15500,BeroBaZZ,231,Botnet
15501,loop,NULL,NULL
15503,Fr34k0r,251,Sonstiges
15505,cooltoad,NULL,NULL
15506,neelix,NULL,NULL
15508,Fa!L,183,Diskussionen
15509,LSC,NULL,NULL
15598,g00x,NULL,NULL
15512,_NeoXxX_,NULL,NULL
15511,maciek191911,NULL,NULL
15545,Security,NULL,NULL
15652,Ersguterdomi,NULL,NULL
15514,breakdown,NULL,NULL
15550,acidraining2,NULL,NULL
15601,elpatte,216,Searching
15516,Nova1337,234,Injections
15518,|Paco|,211,"Goods / Drugs / Self Defense"
15520,Suckerkuh,NULL,NULL
15654,MuscleNerd,209,Carding/Instorecarding
15521,winzroot,NULL,NULL
15524,Daywalker789,181,"Zahlungsmethoden und Cashout"
15525,Anonym³,NULL,NULL
15563,PIMMELKOPF,NULL,NULL
15527,sterinningcles,NULL,NULL
15528,owner3,NULL,NULL
15529,Snowfish,NULL,NULL
15531,Superflymaster,181,"Zahlungsmethoden und Cashout"
15530,superfr3ak,NULL,NULL
15532,n0t,NULL,NULL
15535,K!LLu#,NULL,NULL
15536,Voided#2,NULL,NULL
15537,Apu2kx,188,Vorstellungen
15573,ComputerBILD,NULL,NULL
15538,Lognot,328,"Newbie Market"
15553,Sheyhan,183,Diskussionen
15539,yo0,NULL,NULL
15543,Gurkenglas,NULL,NULL
15546,Nephilim,NULL,NULL
15540,pjown,NULL,NULL
15542,franki.,246,"Software &amp; OS"
15547,IncSt0re,188,Vorstellungen
15548,longin,NULL,NULL
15549,killers,NULL,NULL
15552,ST4R_,209,Carding/Instorecarding
15560,xPro,NULL,NULL
15554,stickboy,NULL,NULL
15555,n0x,NULL,NULL
15556,werwas,NULL,NULL
15559,ballaballa,NULL,NULL
15561,hel,NULL,NULL
15581,xSkyPagex,NULL,NULL
15562,Rolf,NULL,NULL
15564,caliban,NULL,NULL
15570,pivigee,NULL,NULL
15566,miserysignals2,223,Identitäten/Docs/IDs/
15568,X0xlee,NULL,NULL
15569,DerBediener,181,"Zahlungsmethoden und Cashout"
15572,batuhanvip,NULL,NULL
15596,seven7,NULL,NULL
15571,got,216,Searching
15631,Kaliskaya,NULL,NULL
15574,Kaeptn,NULL,NULL
15575,MrP178,NULL,NULL
15576,KiiNG,NULL,NULL
15577,xbmaster,NULL,NULL
15578,hexa_xcore,NULL,NULL
15591,d0pe,188,Vorstellungen
15638,BobHope,NULL,NULL
15579,eagleroxx,NULL,NULL
15580,Burzl,NULL,NULL
15583,zNET,NULL,NULL
15690,kee123,NULL,NULL
15582,anon-558,NULL,NULL
15584,Bl00D,236,"Hash Verschlüselungen / Passwort Cracking"
15586,chemical,NULL,NULL
15587,Lorian,NULL,NULL
15588,Grisu,NULL,NULL
15612,peter2349,173,"Identification &amp; Documents"
15613,OceanBird,183,Diskussionen
15592,loller7,188,Vorstellungen
15593,Cyberhexor,249,Offtopic
15594,warumBANN,249,Offtopic
15595,Noppi,NULL,NULL
15625,heiner3001,251,Sonstiges
15599,funk_uws,NULL,NULL
15600,hackerking,NULL,NULL
15602,L33T3X1,249,Offtopic
15656,Kietas,218,"Hochwertige Accounts"
15603,Disturbed,236,"Hash Verschlüselungen / Passwort Cracking"
15604,Getdiirty33,NULL,NULL
15606,DREiST,NULL,NULL
15605,00syntax00,NULL,NULL
15607,Panau,NULL,NULL
15608,"sack gesicht mensch",181,"Zahlungsmethoden und Cashout"
15609,airblade,NULL,NULL
15676,pipioma,NULL,NULL
15610,germany,189,Tutorials
15611,Wuff,NULL,NULL
15614,br!xX0r,NULL,NULL
15615,Spunz,NULL,NULL
15616,TripleArsch,NULL,NULL
15618,michele01,NULL,NULL
15619,DiBeer,NULL,NULL
15686,CASTBOUND,212,"Services / Setup"
15621,finn,249,Offtopic
15622,Michael_,NULL,NULL
15623,zzzz,NULL,NULL
15626,s4v0r,NULL,NULL
15671,cincex,NULL,NULL
15627,_|4!1|=4!1,182,"Die Fragen der Neulinge"
15629,"Np TUT seller",NULL,NULL
15630,ales99,NULL,NULL
15632,m333,NULL,NULL
15633,turb0h,NULL,NULL
15634,N0S.,NULL,NULL
15641,cardercack,NULL,NULL
15636,vogeljunge,NULL,NULL
15637,Payne_,188,Vorstellungen
15639,legolas,NULL,NULL
15640,In/Out,249,Offtopic
15647,c$$h,249,Offtopic
15643,raskow,188,Vorstellungen
15642,huetti2006,NULL,NULL
15645,SickOfItAll,193,"Social Engeneering"
15644,__adihash__,NULL,NULL
15649,hyypie,188,Vorstellungen
15648,Oris,NULL,NULL
15646,cocomet,NULL,NULL
15668,Mengano,183,Diskussionen
15667,gonzo3311,NULL,NULL
15650,R4ZR,183,Diskussionen
15651,cc-store.info,NULL,NULL
15661,dM_baXXus,246,"Software &amp; OS"
15653,"|\/| = M",249,Offtopic
15655,jonny5252,NULL,NULL
15658,dj4ni,329,"Newbie Searching"
15659,lolo,NULL,NULL
15660,Armagetron,NULL,NULL
15673,MOZART,207,Dumps
15662,L33T3X-IN-ACTION!,NULL,NULL
15663,IM-RIPPER(L33T3X),NULL,NULL
15665,allroundzone,181,"Zahlungsmethoden und Cashout"
